Programme course id,Programme code,Study Year,Academic Year,Course,Course Type
100012018-20191243,10001,1.0,2018-2019,1243,compulsory-elective
100012018-20191147,10001,1.0,2018-2019,1147,compulsory-elective
100012018-20191133,10001,1.0,2018-2019,1133,compulsory-elective
100012018-20191239,10001,1.0,2018-2019,1239,elective
100012018-20191220,10001,1.0,2018-2019,1220,elective
100012018-20191178,10001,1.0,2018-2019,1178,elective
100012018-20191168,10001,1.0,2018-2019,1168,elective
100012018-20191078,10001,1.0,2018-2019,1078,elective
100012018-20191027,10001,1.0,2018-2019,1027,elective
100012019-20201157,10001,1.0,2019-2020,1157,compulsory
100012019-20201244,10001,1.0,2019-2020,1244,compulsory-elective
100012019-20201183,10001,1.0,2019-2020,1183,compulsory-elective
100012019-20201108,10001,1.0,2019-2020,1108,compulsory-elective
100012019-20201267,10001,1.0,2019-2020,1267,elective
100012019-20201250,10001,1.0,2019-2020,1250,elective
100012019-20201246,10001,1.0,2019-2020,1246,elective
100012019-20201135,10001,1.0,2019-2020,1135,elective
100012019-20201099,10001,1.0,2019-2020,1099,elective
100012020-20211284,10001,1.0,2020-2021,1284,compulsory
100012020-20211239,10001,1.0,2020-2021,1239,compulsory
100012020-20211155,10001,1.0,2020-2021,1155,compulsory
100012020-20211130,10001,1.0,2020-2021,1130,compulsory
100012020-20211278,10001,1.0,2020-2021,1278,elective
100012020-20211204,10001,1.0,2020-2021,1204,elective
100012020-20211092,10001,1.0,2020-2021,1092,elective
100012020-20211060,10001,1.0,2020-2021,1060,elective
100012021-20221203,10001,1.0,2021-2022,1203,compulsory
100012021-20221086,10001,1.0,2021-2022,1086,compulsory
100012021-20221180,10001,1.0,2021-2022,1180,compulsory-elective
100012021-20221167,10001,1.0,2021-2022,1167,compulsory-elective
100012021-20221136,10001,1.0,2021-2022,1136,compulsory-elective
100012021-20221048,10001,1.0,2021-2022,1048,compulsory-elective
100012021-20221194,10001,1.0,2021-2022,1194,elective
100012021-20221079,10001,1.0,2021-2022,1079,elective
100012021-20221054,10001,1.0,2021-2022,1054,elective
100012021-20221043,10001,1.0,2021-2022,1043,elective
100012021-20221006,10001,1.0,2021-2022,1006,elective
100012022-20231263,10001,1.0,2022-2023,1263,compulsory
100012022-20231282,10001,1.0,2022-2023,1282,compulsory-elective
100012022-20231170,10001,1.0,2022-2023,1170,compulsory-elective
100012022-20231098,10001,1.0,2022-2023,1098,compulsory-elective
100012022-20231005,10001,1.0,2022-2023,1005,compulsory-elective
100012022-20231255,10001,1.0,2022-2023,1255,elective
100012022-20231222,10001,1.0,2022-2023,1222,elective
100012022-20231178,10001,1.0,2022-2023,1178,elective
100012022-20231088,10001,1.0,2022-2023,1088,elective
100012022-20231070,10001,1.0,2022-2023,1070,elective
100012022-20231067,10001,1.0,2022-2023,1067,elective
100012023-20241014,10001,1.0,2023-2024,1014,compulsory
100012023-20241299,10001,1.0,2023-2024,1299,compulsory-elective
100012023-20241296,10001,1.0,2023-2024,1296,compulsory-elective
100012023-20241132,10001,1.0,2023-2024,1132,compulsory-elective
100012023-20241046,10001,1.0,2023-2024,1046,compulsory-elective
100012023-20241289,10001,1.0,2023-2024,1289,compulsory-elective
100012023-20241223,10001,1.0,2023-2024,1223,compulsory-elective
100012023-20241137,10001,1.0,2023-2024,1137,compulsory-elective
100012023-20241082,10001,1.0,2023-2024,1082,compulsory-elective
100012013-20141265,10001,2.0,2013-2014,1265,compulsory
100012013-20141213,10001,2.0,2013-2014,1213,compulsory-elective
100012013-20141085,10001,2.0,2013-2014,1085,compulsory-elective
100012013-20141075,10001,2.0,2013-2014,1075,compulsory-elective
100012013-20141272,10001,2.0,2013-2014,1272,elective
100012013-20141139,10001,2.0,2013-2014,1139,elective
100012013-20141101,10001,2.0,2013-2014,1101,elective
100012013-20141098,10001,2.0,2013-2014,1098,elective
100012013-20141083,10001,2.0,2013-2014,1083,elective
100012014-20151185,10001,2.0,2014-2015,1185,compulsory
100012014-20151271,10001,2.0,2014-2015,1271,compulsory-elective
100012014-20151258,10001,2.0,2014-2015,1258,compulsory-elective
100012014-20151073,10001,2.0,2014-2015,1073,compulsory-elective
100012014-20151065,10001,2.0,2014-2015,1065,compulsory-elective
100012014-20151218,10001,2.0,2014-2015,1218,compulsory-elective
100012014-20151208,10001,2.0,2014-2015,1208,compulsory-elective
100012014-20151100,10001,2.0,2014-2015,1100,compulsory-elective
100012014-20151090,10001,2.0,2014-2015,1090,compulsory-elective
100012015-20161221,10001,2.0,2015-2016,1221,compulsory
100012015-20161073,10001,2.0,2015-2016,1073,compulsory
100012015-20161230,10001,2.0,2015-2016,1230,compulsory
100012015-20161208,10001,2.0,2015-2016,1208,compulsory
100012015-20161201,10001,2.0,2015-2016,1201,elective
100012015-20161199,10001,2.0,2015-2016,1199,elective
100012015-20161144,10001,2.0,2015-2016,1144,elective
100012015-20161086,10001,2.0,2015-2016,1086,elective
100012015-20161040,10001,2.0,2015-2016,1040,elective
100012015-20161011,10001,2.0,2015-2016,1011,elective
100012016-20171258,10001,2.0,2016-2017,1258,compulsory
100012016-20171284,10001,2.0,2016-2017,1284,compulsory-elective
100012016-20171094,10001,2.0,2016-2017,1094,compulsory-elective
100012016-20171008,10001,2.0,2016-2017,1008,compulsory-elective
100012016-20171250,10001,2.0,2016-2017,1250,elective
100012016-20171197,10001,2.0,2016-2017,1197,elective
100012016-20171176,10001,2.0,2016-2017,1176,elective
100012016-20171011,10001,2.0,2016-2017,1011,elective
100012017-20181240,10001,2.0,2017-2018,1240,compulsory
100012017-20181194,10001,2.0,2017-2018,1194,compulsory
100012017-20181208,10001,2.0,2017-2018,1208,compulsory-elective
100012017-20181158,10001,2.0,2017-2018,1158,compulsory-elective
100012017-20181133,10001,2.0,2017-2018,1133,compulsory-elective
100012017-20181060,10001,2.0,2017-2018,1060,compulsory-elective
100012017-20181257,10001,2.0,2017-2018,1257,elective
100012017-20181201,10001,2.0,2017-2018,1201,elective
100012017-20181169,10001,2.0,2017-2018,1169,elective
100012017-20181081,10001,2.0,2017-2018,1081,elective
100012017-20181066,10001,2.0,2017-2018,1066,elective
100012017-20181021,10001,2.0,2017-2018,1021,elective
100012018-20191276,10001,2.0,2018-2019,1276,compulsory
100012018-20191129,10001,2.0,2018-2019,1129,compulsory
100012018-20191117,10001,2.0,2018-2019,1117,compulsory-elective
100012018-20191116,10001,2.0,2018-2019,1116,compulsory-elective
100012018-20191048,10001,2.0,2018-2019,1048,compulsory-elective
100012018-20191248,10001,2.0,2018-2019,1248,elective
100012018-20191235,10001,2.0,2018-2019,1235,elective
100012018-20191204,10001,2.0,2018-2019,1204,elective
100012018-20191153,10001,2.0,2018-2019,1153,elective
100012018-20191076,10001,2.0,2018-2019,1076,elective
100012019-20201108,10001,2.0,2019-2020,1108,compulsory
100012019-20201077,10001,2.0,2019-2020,1077,compulsory-elective
100012019-20201024,10001,2.0,2019-2020,1024,compulsory-elective
100012019-20201014,10001,2.0,2019-2020,1014,compulsory-elective
100012019-20201234,10001,2.0,2019-2020,1234,elective
100012019-20201224,10001,2.0,2019-2020,1224,elective
100012019-20201202,10001,2.0,2019-2020,1202,elective
100012019-20201200,10001,2.0,2019-2020,1200,elective
100012019-20201025,10001,2.0,2019-2020,1025,elective
100012020-20211048,10001,2.0,2020-2021,1048,compulsory
100012020-20211196,10001,2.0,2020-2021,1196,compulsory-elective
100012020-20211194,10001,2.0,2020-2021,1194,compulsory-elective
100012020-20211107,10001,2.0,2020-2021,1107,compulsory-elective
100012020-20211096,10001,2.0,2020-2021,1096,compulsory-elective
100012020-20211258,10001,2.0,2020-2021,1258,elective
100012020-20211182,10001,2.0,2020-2021,1182,elective
100012020-20211158,10001,2.0,2020-2021,1158,elective
100012020-20211130,10001,2.0,2020-2021,1130,elective
100012020-20211064,10001,2.0,2020-2021,1064,elective
100012021-20221142,10001,2.0,2021-2022,1142,compulsory
100012021-20221287,10001,2.0,2021-2022,1287,compulsory-elective
100012021-20221206,10001,2.0,2021-2022,1206,compulsory-elective
100012021-20221236,10001,2.0,2021-2022,1236,elective
100012021-20221178,10001,2.0,2021-2022,1178,elective
100012021-20221029,10001,2.0,2021-2022,1029,elective
100012021-20221024,10001,2.0,2021-2022,1024,elective
100012021-20221007,10001,2.0,2021-2022,1007,elective
100012022-20231286,10001,2.0,2022-2023,1286,compulsory
100012022-20231187,10001,2.0,2022-2023,1187,compulsory
100012022-20231222,10001,2.0,2022-2023,1222,compulsory
100012022-20231040,10001,2.0,2022-2023,1040,compulsory
100012022-20231275,10001,2.0,2022-2023,1275,elective
100012022-20231210,10001,2.0,2022-2023,1210,elective
100012022-20231194,10001,2.0,2022-2023,1194,elective
100012022-20231191,10001,2.0,2022-2023,1191,elective
100012022-20231037,10001,2.0,2022-2023,1037,elective
100012022-20231017,10001,2.0,2022-2023,1017,elective
100012023-20241163,10001,2.0,2023-2024,1163,compulsory
100012023-20241146,10001,2.0,2023-2024,1146,compulsory
100012023-20241035,10001,2.0,2023-2024,1035,compulsory-elective
100012023-20241010,10001,2.0,2023-2024,1010,compulsory-elective
100012023-20241011,10001,2.0,2023-2024,1011,compulsory-elective
100012023-20241294,10001,2.0,2023-2024,1294,elective
100012023-20241283,10001,2.0,2023-2024,1283,elective
100012023-20241184,10001,2.0,2023-2024,1184,elective
100012023-20241180,10001,2.0,2023-2024,1180,elective
100012013-20141236,10001,3.0,2013-2014,1236,compulsory
100012013-20141093,10001,3.0,2013-2014,1093,compulsory
100012013-20141255,10001,3.0,2013-2014,1255,compulsory-elective
100012013-20141235,10001,3.0,2013-2014,1235,compulsory-elective
100012013-20141140,10001,3.0,2013-2014,1140,compulsory-elective
100012013-20141266,10001,3.0,2013-2014,1266,elective
100012013-20141160,10001,3.0,2013-2014,1160,elective
100012013-20141135,10001,3.0,2013-2014,1135,elective
100012013-20141100,10001,3.0,2013-2014,1100,elective
100012013-20141037,10001,3.0,2013-2014,1037,elective
100012013-20141034,10001,3.0,2013-2014,1034,elective
100012014-20151255,10001,3.0,2014-2015,1255,compulsory
100012014-20151033,10001,3.0,2014-2015,1033,compulsory-elective
100012014-20151023,10001,3.0,2014-2015,1023,compulsory-elective
100012014-20151220,10001,3.0,2014-2015,1220,elective
100012014-20151149,10001,3.0,2014-2015,1149,elective
100012014-20151098,10001,3.0,2014-2015,1098,elective
100012014-20151076,10001,3.0,2014-2015,1076,elective
100012014-20151032,10001,3.0,2014-2015,1032,elective
100012015-20161168,10001,3.0,2015-2016,1168,compulsory
100012015-20161149,10001,3.0,2015-2016,1149,compulsory-elective
100012015-20161146,10001,3.0,2015-2016,1146,compulsory-elective
100012015-20161103,10001,3.0,2015-2016,1103,compulsory-elective
100012015-20161008,10001,3.0,2015-2016,1008,compulsory-elective
100012015-20161233,10001,3.0,2015-2016,1233,elective
100012015-20161205,10001,3.0,2015-2016,1205,elective
100012015-20161190,10001,3.0,2015-2016,1190,elective
100012015-20161067,10001,3.0,2015-2016,1067,elective
100012015-20161049,10001,3.0,2015-2016,1049,elective
100012015-20161009,10001,3.0,2015-2016,1009,elective
100012016-20171128,10001,3.0,2016-2017,1128,compulsory
100012016-20171222,10001,3.0,2016-2017,1222,compulsory-elective
100012016-20171122,10001,3.0,2016-2017,1122,compulsory-elective
100012016-20171120,10001,3.0,2016-2017,1120,compulsory-elective
100012016-20171273,10001,3.0,2016-2017,1273,elective
100012016-20171182,10001,3.0,2016-2017,1182,elective
100012016-20171150,10001,3.0,2016-2017,1150,elective
100012016-20171052,10001,3.0,2016-2017,1052,elective
100012017-20181248,10001,3.0,2017-2018,1248,compulsory
100012017-20181221,10001,3.0,2017-2018,1221,compulsory
100012017-20181048,10001,3.0,2017-2018,1048,compulsory
100012017-20181025,10001,3.0,2017-2018,1025,compulsory
100012017-20181238,10001,3.0,2017-2018,1238,elective
100012017-20181211,10001,3.0,2017-2018,1211,elective
100012017-20181117,10001,3.0,2017-2018,1117,elective
100012017-20181072,10001,3.0,2017-2018,1072,elective
100012018-20191013,10001,3.0,2018-2019,1013,compulsory
100012018-20191273,10001,3.0,2018-2019,1273,compulsory-elective
100012018-20191230,10001,3.0,2018-2019,1230,compulsory-elective
100012018-20191079,10001,3.0,2018-2019,1079,compulsory-elective
100012018-20191237,10001,3.0,2018-2019,1237,elective
100012018-20191205,10001,3.0,2018-2019,1205,elective
100012018-20191197,10001,3.0,2018-2019,1197,elective
100012018-20191185,10001,3.0,2018-2019,1185,elective
100012018-20191058,10001,3.0,2018-2019,1058,elective
100012018-20191043,10001,3.0,2018-2019,1043,elective
100012019-20201049,10001,3.0,2019-2020,1049,compulsory
100012019-20201205,10001,3.0,2019-2020,1205,compulsory-elective
100012019-20201152,10001,3.0,2019-2020,1152,compulsory-elective
100012019-20201055,10001,3.0,2019-2020,1055,compulsory-elective
100012019-20201292,10001,3.0,2019-2020,1292,elective
100012019-20201189,10001,3.0,2019-2020,1189,elective
100012019-20201170,10001,3.0,2019-2020,1170,elective
100012019-20201118,10001,3.0,2019-2020,1118,elective
100012019-20201090,10001,3.0,2019-2020,1090,elective
100012019-20201073,10001,3.0,2019-2020,1073,elective
100012020-20211077,10001,3.0,2020-2021,1077,compulsory
100012020-20211213,10001,3.0,2020-2021,1213,compulsory-elective
100012020-20211199,10001,3.0,2020-2021,1199,compulsory-elective
100012020-20211049,10001,3.0,2020-2021,1049,compulsory-elective
100012020-20211222,10001,3.0,2020-2021,1222,elective
100012020-20211192,10001,3.0,2020-2021,1192,elective
100012020-20211164,10001,3.0,2020-2021,1164,elective
100012020-20211113,10001,3.0,2020-2021,1113,elective
100012020-20211031,10001,3.0,2020-2021,1031,elective
100012021-20221276,10001,3.0,2021-2022,1276,compulsory
100012021-20221207,10001,3.0,2021-2022,1207,compulsory-elective
100012021-20221118,10001,3.0,2021-2022,1118,compulsory-elective
100012021-20221217,10001,3.0,2021-2022,1217,elective
100012021-20221162,10001,3.0,2021-2022,1162,elective
100012021-20221072,10001,3.0,2021-2022,1072,elective
100012021-20221064,10001,3.0,2021-2022,1064,elective
100012022-20231184,10001,3.0,2022-2023,1184,compulsory
100012022-20231218,10001,3.0,2022-2023,1218,compulsory-elective
100012022-20231066,10001,3.0,2022-2023,1066,compulsory-elective
100012022-20231272,10001,3.0,2022-2023,1272,elective
100012022-20231190,10001,3.0,2022-2023,1190,elective
100012022-20231131,10001,3.0,2022-2023,1131,elective
100012022-20231125,10001,3.0,2022-2023,1125,elective
100012022-20231046,10001,3.0,2022-2023,1046,elective
100012023-20241070,10001,3.0,2023-2024,1070,compulsory
100012023-20241009,10001,3.0,2023-2024,1009,compulsory
100012023-20241290,10001,3.0,2023-2024,1290,compulsory-elective
100012023-20241173,10001,3.0,2023-2024,1173,compulsory-elective
100012023-20241004,10001,3.0,2023-2024,1004,compulsory-elective
100012023-20241296,10001,3.0,2023-2024,1296,elective
100012023-20241240,10001,3.0,2023-2024,1240,elective
100012023-20241160,10001,3.0,2023-2024,1160,elective
100012023-20241158,10001,3.0,2023-2024,1158,elective
100012023-20241115,10001,3.0,2023-2024,1115,elective
100012023-20241022,10001,3.0,2023-2024,1022,elective
100112013-20141162,10011,1.0,2013-2014,1162,compulsory
100112013-20141240,10011,1.0,2013-2014,1240,compulsory-elective
100112013-20141101,10011,1.0,2013-2014,1101,compulsory-elective
100112013-20141093,10011,1.0,2013-2014,1093,compulsory-elective
100112013-20141262,10011,1.0,2013-2014,1262,elective
100112013-20141208,10011,1.0,2013-2014,1208,elective
100112013-20141199,10011,1.0,2013-2014,1199,elective
100112013-20141083,10011,1.0,2013-2014,1083,elective
100112014-20151121,10011,1.0,2014-2015,1121,compulsory
100112014-20151211,10011,1.0,2014-2015,1211,compulsory-elective
100112014-20151171,10011,1.0,2014-2015,1171,compulsory-elective
100112014-20151267,10011,1.0,2014-2015,1267,elective
100112014-20151263,10011,1.0,2014-2015,1263,elective
100112014-20151160,10011,1.0,2014-2015,1160,elective
100112014-20151108,10011,1.0,2014-2015,1108,elective
100112014-20151087,10011,1.0,2014-2015,1087,elective
100112014-20151083,10011,1.0,2014-2015,1083,elective
100112015-20161178,10011,1.0,2015-2016,1178,compulsory
100112015-20161218,10011,1.0,2015-2016,1218,compulsory-elective
100112015-20161200,10011,1.0,2015-2016,1200,compulsory-elective
100112015-20161107,10011,1.0,2015-2016,1107,compulsory-elective
100112015-20161047,10011,1.0,2015-2016,1047,compulsory-elective
100112015-20161293,10011,1.0,2015-2016,1293,compulsory-elective
100112015-20161263,10011,1.0,2015-2016,1263,compulsory-elective
100112015-20161262,10011,1.0,2015-2016,1262,compulsory-elective
100112015-20161106,10011,1.0,2015-2016,1106,compulsory-elective
100112016-20171291,10011,1.0,2016-2017,1291,compulsory
100112016-20171028,10011,1.0,2016-2017,1028,compulsory
100112016-20171265,10011,1.0,2016-2017,1265,compulsory-elective
100112016-20171224,10011,1.0,2016-2017,1224,compulsory-elective
100112016-20171209,10011,1.0,2016-2017,1209,compulsory-elective
100112016-20171059,10011,1.0,2016-2017,1059,compulsory-elective
100112016-20171283,10011,1.0,2016-2017,1283,compulsory-elective
100112016-20171258,10011,1.0,2016-2017,1258,compulsory-elective
100112016-20171115,10011,1.0,2016-2017,1115,compulsory-elective
100112016-20171031,10011,1.0,2016-2017,1031,compulsory-elective
100112017-20181295,10011,1.0,2017-2018,1295,compulsory
100112017-20181031,10011,1.0,2017-2018,1031,compulsory
100112017-20181297,10011,1.0,2017-2018,1297,compulsory-elective
100112017-20181271,10011,1.0,2017-2018,1271,compulsory-elective
100112017-20181084,10011,1.0,2017-2018,1084,compulsory-elective
100112017-20181253,10011,1.0,2017-2018,1253,elective
100112017-20181166,10011,1.0,2017-2018,1166,elective
100112017-20181155,10011,1.0,2017-2018,1155,elective
100112017-20181088,10011,1.0,2017-2018,1088,elective
100112017-20181077,10011,1.0,2017-2018,1077,elective
100112018-20191104,10011,1.0,2018-2019,1104,compulsory
100112018-20191040,10011,1.0,2018-2019,1040,compulsory
100112018-20191256,10011,1.0,2018-2019,1256,compulsory-elective
100112018-20191233,10011,1.0,2018-2019,1233,compulsory-elective
100112018-20191184,10011,1.0,2018-2019,1184,compulsory-elective
100112018-20191253,10011,1.0,2018-2019,1253,elective
100112018-20191189,10011,1.0,2018-2019,1189,elective
100112018-20191092,10011,1.0,2018-2019,1092,elective
100112018-20191015,10011,1.0,2018-2019,1015,elective
100112018-20191006,10011,1.0,2018-2019,1006,elective
100112019-20201224,10011,1.0,2019-2020,1224,compulsory
100112019-20201193,10011,1.0,2019-2020,1193,compulsory
100112019-20201142,10011,1.0,2019-2020,1142,compulsory
100112019-20201022,10011,1.0,2019-2020,1022,compulsory
100112019-20201289,10011,1.0,2019-2020,1289,elective
100112019-20201274,10011,1.0,2019-2020,1274,elective
100112019-20201152,10011,1.0,2019-2020,1152,elective
100112019-20201145,10011,1.0,2019-2020,1145,elective
100112019-20201136,10011,1.0,2019-2020,1136,elective
100112019-20201127,10011,1.0,2019-2020,1127,elective
100112020-20211218,10011,1.0,2020-2021,1218,compulsory
100112020-20211186,10011,1.0,2020-2021,1186,compulsory
100112020-20211228,10011,1.0,2020-2021,1228,compulsory-elective
100112020-20211151,10011,1.0,2020-2021,1151,compulsory-elective
100112020-20211109,10011,1.0,2020-2021,1109,compulsory-elective
100112020-20211094,10011,1.0,2020-2021,1094,compulsory-elective
100112020-20211264,10011,1.0,2020-2021,1264,elective
100112020-20211137,10011,1.0,2020-2021,1137,elective
100112020-20211105,10011,1.0,2020-2021,1105,elective
100112020-20211063,10011,1.0,2020-2021,1063,elective
100112020-20211047,10011,1.0,2020-2021,1047,elective
100112020-20211045,10011,1.0,2020-2021,1045,elective
100112021-20221224,10011,1.0,2021-2022,1224,compulsory
100112021-20221055,10011,1.0,2021-2022,1055,compulsory
100112021-20221236,10011,1.0,2021-2022,1236,compulsory-elective
100112021-20221166,10011,1.0,2021-2022,1166,compulsory-elective
100112021-20221047,10011,1.0,2021-2022,1047,compulsory-elective
100112021-20221249,10011,1.0,2021-2022,1249,elective
100112021-20221149,10011,1.0,2021-2022,1149,elective
100112021-20221073,10011,1.0,2021-2022,1073,elective
100112021-20221045,10011,1.0,2021-2022,1045,elective
100112022-20231110,10011,1.0,2022-2023,1110,compulsory
100112022-20231251,10011,1.0,2022-2023,1251,compulsory-elective
100112022-20231234,10011,1.0,2022-2023,1234,compulsory-elective
100112022-20231102,10011,1.0,2022-2023,1102,compulsory-elective
100112022-20231049,10011,1.0,2022-2023,1049,compulsory-elective
100112022-20231242,10011,1.0,2022-2023,1242,elective
100112022-20231116,10011,1.0,2022-2023,1116,elective
100112022-20231087,10011,1.0,2022-2023,1087,elective
100112022-20231070,10011,1.0,2022-2023,1070,elective
100112022-20231069,10011,1.0,2022-2023,1069,elective
100112023-20241257,10011,1.0,2023-2024,1257,compulsory
100112023-20241232,10011,1.0,2023-2024,1232,compulsory
100112023-20241114,10011,1.0,2023-2024,1114,compulsory
100112023-20241076,10011,1.0,2023-2024,1076,compulsory
100112023-20241278,10011,1.0,2023-2024,1278,elective
100112023-20241261,10011,1.0,2023-2024,1261,elective
100112023-20241127,10011,1.0,2023-2024,1127,elective
100112023-20241126,10011,1.0,2023-2024,1126,elective
100112023-20241099,10011,1.0,2023-2024,1099,elective
100112013-20141236,10011,2.0,2013-2014,1236,compulsory
100112013-20141233,10011,2.0,2013-2014,1233,compulsory-elective
100112013-20141183,10011,2.0,2013-2014,1183,compulsory-elective
100112013-20141112,10011,2.0,2013-2014,1112,compulsory-elective
100112013-20141083,10011,2.0,2013-2014,1083,compulsory-elective
100112013-20141296,10011,2.0,2013-2014,1296,elective
100112013-20141248,10011,2.0,2013-2014,1248,elective
100112013-20141149,10011,2.0,2013-2014,1149,elective
100112013-20141066,10011,2.0,2013-2014,1066,elective
100112013-20141035,10011,2.0,2013-2014,1035,elective
100112014-20151155,10011,2.0,2014-2015,1155,compulsory
100112014-20151100,10011,2.0,2014-2015,1100,compulsory
100112014-20151050,10011,2.0,2014-2015,1050,compulsory
100112014-20151044,10011,2.0,2014-2015,1044,compulsory
100112014-20151288,10011,2.0,2014-2015,1288,elective
100112014-20151257,10011,2.0,2014-2015,1257,elective
100112014-20151113,10011,2.0,2014-2015,1113,elective
100112014-20151009,10011,2.0,2014-2015,1009,elective
100112015-20161269,10011,2.0,2015-2016,1269,compulsory
100112015-20161138,10011,2.0,2015-2016,1138,compulsory
100112015-20161251,10011,2.0,2015-2016,1251,compulsory
100112015-20161242,10011,2.0,2015-2016,1242,compulsory
100112015-20161293,10011,2.0,2015-2016,1293,elective
100112015-20161248,10011,2.0,2015-2016,1248,elective
100112015-20161198,10011,2.0,2015-2016,1198,elective
100112015-20161170,10011,2.0,2015-2016,1170,elective
100112015-20161143,10011,2.0,2015-2016,1143,elective
100112015-20161121,10011,2.0,2015-2016,1121,elective
100112016-20171131,10011,2.0,2016-2017,1131,compulsory
100112016-20171294,10011,2.0,2016-2017,1294,compulsory-elective
100112016-20171218,10011,2.0,2016-2017,1218,compulsory-elective
100112016-20171138,10011,2.0,2016-2017,1138,compulsory-elective
100112016-20171080,10011,2.0,2016-2017,1080,compulsory-elective
100112016-20171281,10011,2.0,2016-2017,1281,compulsory-elective
100112016-20171247,10011,2.0,2016-2017,1247,compulsory-elective
100112016-20171146,10011,2.0,2016-2017,1146,compulsory-elective
100112016-20171119,10011,2.0,2016-2017,1119,compulsory-elective
100112017-20181240,10011,2.0,2017-2018,1240,compulsory
100112017-20181192,10011,2.0,2017-2018,1192,compulsory
100112017-20181252,10011,2.0,2017-2018,1252,compulsory-elective
100112017-20181230,10011,2.0,2017-2018,1230,compulsory-elective
100112017-20181221,10011,2.0,2017-2018,1221,compulsory-elective
100112017-20181010,10011,2.0,2017-2018,1010,compulsory-elective
100112017-20181284,10011,2.0,2017-2018,1284,elective
100112017-20181203,10011,2.0,2017-2018,1203,elective
100112017-20181170,10011,2.0,2017-2018,1170,elective
100112017-20181145,10011,2.0,2017-2018,1145,elective
100112017-20181131,10011,2.0,2017-2018,1131,elective
100112017-20181046,10011,2.0,2017-2018,1046,elective
100112018-20191185,10011,2.0,2018-2019,1185,compulsory
100112018-20191090,10011,2.0,2018-2019,1090,compulsory-elective
100112018-20191082,10011,2.0,2018-2019,1082,compulsory-elective
100112018-20191290,10011,2.0,2018-2019,1290,elective
100112018-20191291,10011,2.0,2018-2019,1291,elective
100112018-20191267,10011,2.0,2018-2019,1267,elective
100112018-20191182,10011,2.0,2018-2019,1182,elective
100112018-20191044,10011,2.0,2018-2019,1044,elective
100112018-20191030,10011,2.0,2018-2019,1030,elective
100112019-20201236,10011,2.0,2019-2020,1236,compulsory
